run,query,data,type,phase,netw_time,reas_time
2,query-34.n3,data_100.nt,fwd,create,17,70
2,query-34.n3,data_100.nt,fwd,run,23,85
2,query-34.n3,data_100.nt,fwd,total,40,155
2,query-35.n3,data_100.nt,fwd,create,17,72
2,query-35.n3,data_100.nt,fwd,run,18,11
2,query-35.n3,data_100.nt,fwd,total,35,83
2,query-36.n3,data_100.nt,fwd,create,17,82
2,query-36.n3,data_100.nt,fwd,run,20,65
2,query-36.n3,data_100.nt,fwd,total,37,147
2,query-37.n3,data_100.nt,fwd,create,16,38
2,query-37.n3,data_100.nt,fwd,run,13,8
2,query-37.n3,data_100.nt,fwd,total,29,46
2,query-38.n3,data_100.nt,fwd,create,32,63
2,query-38.n3,data_100.nt,fwd,run,20,201
2,query-38.n3,data_100.nt,fwd,total,52,264
2,query-39.n3,data_100.nt,fwd,create,17,51
2,query-39.n3,data_100.nt,fwd,run,15,32
2,query-39.n3,data_100.nt,fwd,total,32,83
2,query-4.n3,data_100.nt,fwd,create,17,78
2,query-4.n3,data_100.nt,fwd,run,21,32
2,query-4.n3,data_100.nt,fwd,total,38,110
2,query-40.n3,data_100.nt,fwd,create,17,79
2,query-40.n3,data_100.nt,fwd,run,25,238
2,query-40.n3,data_100.nt,fwd,total,42,317
2,query-41.n3,data_100.nt,fwd,create,17,93
2,query-41.n3,data_100.nt,fwd,run,25,39
2,query-41.n3,data_100.nt,fwd,total,42,132
2,query-42.n3,data_100.nt,fwd,create,17,53
2,query-42.n3,data_100.nt,fwd,run,15,4
2,query-42.n3,data_100.nt,fwd,total,32,57
2,query-43.n3,data_100.nt,fwd,create,17,55
2,query-43.n3,data_100.nt,fwd,run,16,86
2,query-43.n3,data_100.nt,fwd,total,33,141
2,query-44.n3,data_100.nt,fwd,create,17,38
2,query-44.n3,data_100.nt,fwd,run,15,3
2,query-44.n3,data_100.nt,fwd,total,32,41
2,query-46.n3,data_100.nt,fwd,create,16,31
2,query-46.n3,data_100.nt,fwd,run,12,3
2,query-46.n3,data_100.nt,fwd,total,28,34
2,query-47.n3,data_100.nt,fwd,create,16,37
2,query-47.n3,data_100.nt,fwd,run,14,4
2,query-47.n3,data_100.nt,fwd,total,30,41
2,query-48.n3,data_100.nt,fwd,create,17,46
2,query-48.n3,data_100.nt,fwd,run,14,4
2,query-48.n3,data_100.nt,fwd,total,31,50
2,query-49.n3,data_100.nt,fwd,create,16,115
2,query-49.n3,data_100.nt,fwd,run,30,76
2,query-49.n3,data_100.nt,fwd,total,46,191
2,query-5.n3,data_100.nt,fwd,create,16,56
2,query-5.n3,data_100.nt,fwd,run,17,19
2,query-5.n3,data_100.nt,fwd,total,33,75
2,query-6.n3,data_100.nt,fwd,create,17,54
2,query-6.n3,data_100.nt,fwd,run,20,153
2,query-6.n3,data_100.nt,fwd,total,37,207
2,query-7.n3,data_100.nt,fwd,create,17,71
2,query-7.n3,data_100.nt,fwd,run,21,2423
